timestamp,namespace,pod,container,cpu(n),memory(Ki)
2025-04-09T12:01:34Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:34Z,istio-system,ztunnel-42djx,istio-proxy,2450945n,53456Ki
2025-04-09T12:01:34Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:35Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:35Z,istio-system,ztunnel-42djx,istio-proxy,2450945n,53456Ki
2025-04-09T12:01:35Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:36Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:36Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:36Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:38Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:38Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:38Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:39Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:39Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:39Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:40Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:40Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:40Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:41Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:41Z,istio-system,ztunnel-42djx,istio-proxy,2450945n,53456Ki
2025-04-09T12:01:41Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:43Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:43Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:43Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:44Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:44Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:44Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:45Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:45Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:45Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:46Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:46Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:46Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:47Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:01:47Z,istio-system,ztunnel-42djx,istio-proxy,386050127n,65128Ki
2025-04-09T12:01:47Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:01:47Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:01:48Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:01:48Z,istio-system,ztunnel-42djx,istio-proxy,386050127n,65128Ki
2025-04-09T12:01:48Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:01:48Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:01:50Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:01:50Z,istio-system,ztunnel-42djx,istio-proxy,386050127n,65128Ki
2025-04-09T12:01:50Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:01:50Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:01:51Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:01:51Z,istio-system,ztunnel-42djx,istio-proxy,300486874n,65128Ki
2025-04-09T12:01:51Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:01:51Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:01:52Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:01:52Z,istio-system,ztunnel-42djx,istio-proxy,386050127n,65128Ki
2025-04-09T12:01:52Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:01:52Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:01:53Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:01:53Z,istio-system,ztunnel-42djx,istio-proxy,300486874n,65128Ki
2025-04-09T12:01:53Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:01:53Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:01:54Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:01:54Z,istio-system,ztunnel-42djx,istio-proxy,300486874n,65128Ki
2025-04-09T12:01:54Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
