timestamp,namespace,pod,container,cpu(n),memory(Ki)
2025-04-08T16:48:26Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:26Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:26Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:27Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:27Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:27Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:27Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:29Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:29Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:29Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:29Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:30Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:30Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:30Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:30Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:31Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:31Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:31Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:31Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:32Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:32Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:32Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:32Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:33Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:33Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:33Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:33Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:35Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:35Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:35Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:35Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:36Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:36Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:36Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:36Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:37Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:37Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:37Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:37Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:38Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:38Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:38Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:38Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:39Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:39Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:39Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:39Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:41Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:41Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:41Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:41Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:42Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:42Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:42Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:42Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:43Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:43Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:43Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:43Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:44Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:44Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:44Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:44Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:46Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:46Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:46Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:46Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:47Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:47Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:47Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:47Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:48Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:48:48Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:48:48Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
2025-04-08T16:48:48Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:48:49Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:48:49Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:48:49Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
2025-04-08T16:48:49Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:48:50Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:48:50Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:48:50Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
2025-04-08T16:48:50Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:48:52Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:48:52Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:48:52Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
2025-04-08T16:48:52Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:48:53Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:48:53Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:48:53Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
2025-04-08T16:48:53Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:48:54Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:48:54Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:48:54Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
2025-04-08T16:48:54Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:48:55Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:48:55Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:48:55Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
2025-04-08T16:48:55Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:48:56Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:48:56Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:48:56Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
2025-04-08T16:48:56Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:48:58Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:48:58Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:48:58Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
2025-04-08T16:48:58Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:48:59Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:48:59Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:48:59Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
2025-04-08T16:48:59Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:49:00Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:49:00Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:49:00Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
2025-04-08T16:49:00Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:49:01Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:49:01Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:49:01Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
2025-04-08T16:49:01Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:49:02Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:49:02Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:49:02Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
2025-04-08T16:49:02Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:49:04Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:49:04Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:49:04Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
2025-04-08T16:49:04Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:49:05Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:49:05Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:49:05Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
2025-04-08T16:49:05Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1383333566n,234100Ki
2025-04-08T16:49:06Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2262927n,61012Ki
2025-04-08T16:49:06Z,istio-system,ztunnel-42djx,istio-proxy,625659421n,70388Ki
2025-04-08T16:49:06Z,istio-system,ztunnel-jmfmq,istio-proxy,52978n,1676Ki
